invoiceNo;unitNo;feeType;target;consumption;unit;unitPrice(RM);totalPrice(RM);period;issuedDate;deleteID;
B-15-02112022;B-15-02;Water;Residential;182.69;Cubic Metres;0.57;104.13;11/2022;01/12/2022;-;
B-15-03112022;B-15-03;Water;Residential;181.28;Cubic Metres;0.57;103.33;11/2022;01/12/2022;-;
B-15-03A112022;B-15-03A;Water;Residential;207.2;Cubic Metres;0.57;118.11;11/2022;01/12/2022;-;
B-15-05112022;B-15-05;Water;Residential;14.58;Cubic Metres;0.57;8.31;11/2022;01/12/2022;-;
A-01-01122022;A-01-01;Water;Residential;111.3;Cubic Metres;0.57;63.44;12/2022;01/01/2023;-;
A-01-02122022;A-01-02;Water;Residential;226.61;Cubic Metres;0.57;129.17;12/2022;01/01/2023;-;
A-01-03122022;A-01-03;Water;Residential;165.97;Cubic Metres;0.57;94.6;12/2022;01/01/2023;-;
A-01-03A122022;A-01-03A;Water;Residential;100.35;Cubic Metres;0.57;57.2;12/2022;01/01/2023;-;
A-01-05122022;A-01-05;Water;Residential;62.23;Cubic Metres;0.57;35.47;12/2022;01/01/2023;-;
B-15-01122022;B-15-01;Water;Residential;216.61;Cubic Metres;0.57;123.47;12/2022;01/01/2023;-;
B-15-02122022;B-15-02;Water;Residential;226.87;Cubic Metres;0.57;129.31;12/2022;01/01/2023;-;
B-15-03122022;B-15-03;Water;Residential;51.05;Cubic Metres;0.57;29.1;12/2022;01/01/2023;-;
B-15-03A122022;B-15-03A;Water;Residential;161.5;Cubic Metres;0.57;92.06;12/2022;01/01/2023;-;
B-15-05122022;B-15-05;Water;Residential;175.69;Cubic Metres;0.57;100.14;12/2022;01/01/2023;-;
A-01-0112023;A-01-01;Water;Residential;36.05;Cubic Metres;0.57;20.55;1/2023;01/02/2023;-;
A-01-0212023;A-01-02;Water;Residential;36.89;Cubic Metres;0.57;21.03;1/2023;01/02/2023;-;
A-01-0312023;A-01-03;Water;Residential;52.72;Cubic Metres;0.57;30.05;1/2023;01/02/2023;-;
A-01-03A12023;A-01-03A;Water;Residential;35.33;Cubic Metres;0.57;20.14;1/2023;01/02/2023;-;
A-01-0512023;A-01-05;Water;Residential;235.48;Cubic Metres;0.57;134.23;1/2023;01/02/2023;-;
B-15-0112023;B-15-01;Water;Residential;200.17;Cubic Metres;0.57;114.1;1/2023;01/02/2023;-;
B-15-0212023;B-15-02;Water;Residential;96.29;Cubic Metres;0.57;54.89;1/2023;01/02/2023;-;
B-15-0312023;B-15-03;Water;Residential;145.6;Cubic Metres;0.57;82.99;1/2023;01/02/2023;-;
B-15-03A12023;B-15-03A;Water;Residential;177.38;Cubic Metres;0.57;101.1;1/2023;01/02/2023;-;
B-15-0512023;B-15-05;Water;Residential;60.36;Cubic Metres;0.57;34.4;1/2023;01/02/2023;-;
A-01-01112022;A-01-01;Management Fee;Residential;1000;Square Feet;0.3;300;11/2022;01/12/2022;-;
A-01-02112022;A-01-02;Management Fee;Residential;800;Square Feet;0.3;240;11/2022;01/12/2022;-;
A-01-03112022;A-01-03;Management Fee;Residential;1200;Square Feet;0.3;360;11/2022;01/12/2022;-;
A-01-03A112022;A-01-03A;Management Fee;Residential;1000;Square Feet;0.3;300;11/2022;01/12/2022;-;
A-01-05112022;A-01-05;Management Fee;Residential;800;Square Feet;0.3;240;11/2022;01/12/2022;-;
B-15-01112022;B-15-01;Management Fee;Residential;1000;Square Feet;0.3;300;11/2022;01/12/2022;-;
B-15-02112022;B-15-02;Management Fee;Residential;800;Square Feet;0.3;240;11/2022;01/12/2022;-;
B-15-03112022;B-15-03;Management Fee;Residential;1200;Square Feet;0.3;360;11/2022;01/12/2022;-;
B-15-03A112022;B-15-03A;Management Fee;Residential;1000;Square Feet;0.3;300;11/2022;01/12/2022;-;
B-15-05112022;B-15-05;Management Fee;Residential;800;Square Feet;0.3;240;11/2022;01/12/2022;-;
A-01-01122022;A-01-01;Management Fee;Residential;1000;Square Feet;0.3;300;12/2022;01/01/2023;-;
A-01-02122022;A-01-02;Management Fee;Residential;800;Square Feet;0.3;240;12/2022;01/01/2023;-;
A-01-03122022;A-01-03;Management Fee;Residential;1200;Square Feet;0.3;360;12/2022;01/01/2023;-;
A-01-03A122022;A-01-03A;Management Fee;Residential;1000;Square Feet;0.3;300;12/2022;01/01/2023;-;
A-01-05122022;A-01-05;Management Fee;Residential;800;Square Feet;0.3;240;12/2022;01/01/2023;-;
B-15-01122022;B-15-01;Management Fee;Residential;1000;Square Feet;0.3;300;12/2022;01/01/2023;-;
B-15-02122022;B-15-02;Management Fee;Residential;800;Square Feet;0.3;240;12/2022;01/01/2023;-;
B-15-03122022;B-15-03;Management Fee;Residential;1200;Square Feet;0.3;360;12/2022;01/01/2023;-;
B-15-03A122022;B-15-03A;Management Fee;Residential;1000;Square Feet;0.3;300;12/2022;01/01/2023;-;
B-15-05122022;B-15-05;Management Fee;Residential;800;Square Feet;0.3;240;12/2022;01/01/2023;-;
A-01-0112023;A-01-01;Management Fee;Residential;1000;Square Feet;0.3;300;1/2023;01/02/2023;-;
A-01-0212023;A-01-02;Management Fee;Residential;800;Square Feet;0.3;240;1/2023;01/02/2023;-;
A-01-0312023;A-01-03;Management Fee;Residential;1200;Square Feet;0.3;360;1/2023;01/02/2023;-;
A-01-03A12023;A-01-03A;Management Fee;Residential;1000;Square Feet;0.3;300;1/2023;01/02/2023;-;
A-01-0512023;A-01-05;Management Fee;Residential;800;Square Feet;0.3;240;1/2023;01/02/2023;-;
B-15-0112023;B-15-01;Management Fee;Residential;1000;Square Feet;0.3;300;1/2023;01/02/2023;-;
B-15-0212023;B-15-02;Management Fee;Residential;800;Square Feet;0.3;240;1/2023;01/02/2023;-;
B-15-0312023;B-15-03;Management Fee;Residential;1200;Square Feet;0.3;360;1/2023;01/02/2023;-;
B-15-03A12023;B-15-03A;Management Fee;Residential;1000;Square Feet;0.3;300;1/2023;01/02/2023;-;
B-15-0512023;B-15-05;Management Fee;Residential;800;Square Feet;0.3;240;1/2023;01/02/2023;-;
S-02-05112022;S-02-05;Management Fee;Commercial;800;Square Feet;0.33;264.0;11/2022;16/02/2023;-;
S-01-0112023;S-01-01;Management Fee;Commercial;1000;Square Feet;0.33;330.0;1/2023;24/02/2023;-;
S-01-01112022;S-01-01;Management Fee;Commercial;1000;Square Feet;0.33;330.0;11/2022;24/02/2023;-;
S-01-02112022;S-01-02;Management Fee;Commercial;800;Square Feet;0.33;264.0;11/2022;24/02/2023;-;
S-01-03112022;S-01-03;Management Fee;Commercial;1200;Square Feet;0.33;396.0;11/2022;24/02/2023;-;
S-01-03A112022;S-01-03A;Management Fee;Commercial;1000;Square Feet;0.33;330.0;11/2022;24/02/2023;-;
S-01-05112022;S-01-05;Management Fee;Commercial;800;Square Feet;0.33;264.0;11/2022;24/02/2023;-;
S-02-01112022;S-02-01;Management Fee;Commercial;1000;Square Feet;0.33;330.0;11/2022;24/02/2023;-;
S-02-02112022;S-02-02;Management Fee;Commercial;800;Square Feet;0.33;264.0;11/2022;24/02/2023;-;
S-02-03112022;S-02-03;Management Fee;Commercial;1200;Square Feet;0.33;396.0;11/2022;24/02/2023;-;
S-02-03A112022;S-02-03A;Management Fee;Commercial;1000;Square Feet;0.33;330.0;11/2022;24/02/2023;-;
