period;unitNo;tenantID;residentID;
12/2022;B-12-01;tnt000131;-;
12/2022;B-12-02;tnt000132;-;
12/2022;B-12-03;tnt000133;-;
12/2022;B-12-03A;tnt000134;-;
12/2022;B-12-05;tnt000135;-;
12/2022;B-13-01;tnt000136;-;
12/2022;B-13-02;tnt000137;-;
12/2022;B-13-03;tnt000138;-;
12/2022;B-13-03A;tnt000139;-;
12/2022;B-13-05;tnt000140;-;
12/2022;B-14-01;tnt000141;-;
12/2022;B-14-02;tnt000142;-;
12/2022;B-14-03;tnt000143;-;
12/2022;B-14-03A;tnt000144;-;
12/2022;B-14-05;tnt000145;-;
12/2022;B-15-01;tnt000146;-;
12/2022;B-15-02;tnt000147;-;
12/2022;B-15-03;tnt000148;-;
12/2022;B-15-03A;tnt000149;-;
12/2022;B-15-05;tnt000150;-;
12/2022;S-01-01;vdr000001;-;
12/2022;S-01-02;vdr000002;-;
12/2022;S-01-03;vdr000003;-;
12/2022;S-01-03A;vdr000004;-;
12/2022;S-01-05;vdr000005;-;
12/2022;S-02-01;vdr000006;-;
12/2022;S-02-02;vdr000007;-;
12/2022;S-02-03;vdr000008;-;
12/2022;S-02-03A;vdr000009;-;
12/2022;S-02-05;vdr000010;-;
