unitNo;Target;squareFeet;status;dateOfSold;
B-02-02;Residential;800;sold;01/11/2022;
B-02-03;Residential;1200;sold;01/11/2022;
B-02-03A;Residential;1000;sold;01/11/2022;
B-02-05;Residential;800;sold;01/11/2022;
B-03-01;Residential;1000;sold;01/11/2022;
B-03-02;Residential;800;sold;01/11/2022;
B-03-03;Residential;1200;sold;01/11/2022;
B-03-03A;Residential;1000;sold;01/11/2022;
B-03-05;Residential;800;sold;01/11/2022;
B-03A-01;Residential;1000;sold;01/11/2022;
B-03A-02;Residential;800;sold;01/11/2022;
B-03A-03;Residential;1200;sold;01/11/2022;
B-03A-03A;Residential;1000;sold;01/11/2022;
B-03A-05;Residential;800;sold;01/11/2022;
B-05-01;Residential;1000;sold;01/11/2022;
B-05-02;Residential;800;sold;01/11/2022;
B-05-03;Residential;1200;sold;01/11/2022;
B-05-03A;Residential;1000;sold;01/11/2022;
B-05-05;Residential;800;sold;01/11/2022;
B-06-01;Residential;1000;sold;01/11/2022;
B-06-02;Residential;800;sold;01/11/2022;
B-06-03;Residential;1200;sold;01/11/2022;
B-06-03A;Residential;1000;sold;01/11/2022;
B-06-05;Residential;800;sold;01/11/2022;
B-07-01;Residential;1000;sold;01/11/2022;
B-07-02;Residential;800;sold;01/11/2022;
B-07-03;Residential;1200;sold;01/11/2022;
B-07-03A;Residential;1000;sold;01/11/2022;
B-07-05;Residential;800;sold;01/11/2022;
B-08-01;Residential;1000;sold;01/11/2022;
B-08-02;Residential;800;sold;01/11/2022;
B-08-03;Residential;1200;sold;01/11/2022;
B-08-03A;Residential;1000;sold;01/11/2022;
B-08-05;Residential;800;sold;01/11/2022;
B-09-01;Residential;1000;sold;01/11/2022;
B-09-02;Residential;800;sold;01/11/2022;
B-09-03;Residential;1200;sold;01/11/2022;
B-09-03A;Residential;1000;sold;01/11/2022;
B-09-05;Residential;800;sold;01/11/2022;
B-10-01;Residential;1000;sold;01/11/2022;
B-10-02;Residential;800;sold;01/11/2022;
B-10-03;Residential;1200;sold;01/11/2022;
B-10-03A;Residential;1000;sold;01/11/2022;
B-10-05;Residential;800;sold;01/11/2022;
B-11-01;Residential;1000;sold;01/11/2022;
B-11-02;Residential;800;sold;01/11/2022;
B-11-03;Residential;1200;sold;01/11/2022;
B-11-03A;Residential;1000;sold;01/11/2022;
B-11-05;Residential;800;sold;01/11/2022;
B-12-01;Residential;1000;sold;01/11/2022;
B-12-02;Residential;800;sold;01/11/2022;
B-12-03;Residential;1200;sold;01/11/2022;
B-12-03A;Residential;1000;sold;01/11/2022;
B-12-05;Residential;800;sold;01/11/2022;
B-13-01;Residential;1000;sold;01/11/2022;
B-13-02;Residential;800;sold;01/11/2022;
B-13-03;Residential;1200;sold;01/11/2022;
B-13-03A;Residential;1000;sold;01/11/2022;
B-13-05;Residential;800;sold;01/11/2022;
B-14-01;Residential;1000;sold;01/11/2022;
B-14-02;Residential;800;sold;01/11/2022;
B-14-03;Residential;1200;sold;01/11/2022;
B-14-03A;Residential;1000;sold;01/11/2022;
B-14-05;Residential;800;sold;01/11/2022;
B-15-01;Residential;1000;sold;01/11/2022;
B-15-02;Residential;800;sold;01/11/2022;
B-15-03;Residential;1200;sold;01/11/2022;
B-15-03A;Residential;1000;sold;01/11/2022;
B-15-05;Residential;800;sold;01/11/2022;
S-01-01;Commercial;1000;sold;01/11/2022;
S-01-02;Commercial;800;sold;01/11/2022;
S-01-03;Commercial;1200;sold;01/11/2022;
S-01-03A;Commercial;1000;sold;01/11/2022;
S-01-05;Commercial;800;sold;01/11/2022;
S-02-01;Commercial;1000;sold;01/11/2022;
S-02-02;Commercial;800;sold;01/11/2022;
S-02-03;Commercial;1200;sold;01/11/2022;
S-02-03A;Commercial;1000;sold;01/11/2022;
S-02-05;Commercial;800;sold;01/11/2022;
