period;unitNo;issuedDate;deleteID;
12/2022;A-12-05;31/01/2023;-;
12/2022;A-13-01;31/01/2023;-;
12/2022;A-13-02;31/01/2023;-;
12/2022;A-13-03;31/01/2023;-;
12/2022;A-13-03A;31/01/2023;-;
12/2022;A-13-05;31/01/2023;-;
12/2022;A-14-01;31/01/2023;-;
12/2022;A-14-02;31/01/2023;-;
12/2022;A-14-03;31/01/2023;-;
12/2022;A-14-03A;31/01/2023;-;
12/2022;A-14-05;31/01/2023;-;
12/2022;A-15-01;31/01/2023;-;
12/2022;A-15-02;31/01/2023;-;
12/2022;A-15-03;31/01/2023;-;
12/2022;A-15-03A;31/01/2023;-;
12/2022;A-15-05;31/01/2023;-;
12/2022;B-01-01;31/01/2023;-;
12/2022;B-01-02;31/01/2023;-;
12/2022;B-01-03;31/01/2023;-;
12/2022;B-01-03A;31/01/2023;-;
12/2022;B-01-05;31/01/2023;-;
12/2022;B-02-01;31/01/2023;-;
12/2022;B-02-02;31/01/2023;-;
12/2022;B-02-03;31/01/2023;-;
12/2022;B-02-03A;31/01/2023;-;
12/2022;B-02-05;31/01/2023;-;
12/2022;B-03-01;31/01/2023;-;
12/2022;B-03-02;31/01/2023;-;
12/2022;B-03-03;31/01/2023;-;
12/2022;B-03-03A;31/01/2023;-;
12/2022;B-03-05;31/01/2023;-;
12/2022;B-03A-01;31/01/2023;-;
12/2022;B-03A-02;31/01/2023;-;
12/2022;B-03A-03;31/01/2023;-;
12/2022;B-03A-03A;31/01/2023;-;
12/2022;B-03A-05;31/01/2023;-;
12/2022;B-05-01;31/01/2023;-;
12/2022;B-05-02;31/01/2023;-;
12/2022;B-05-03;31/01/2023;-;
12/2022;B-05-03A;31/01/2023;-;
12/2022;B-05-05;31/01/2023;-;
12/2022;B-06-01;31/01/2023;-;
12/2022;B-06-02;31/01/2023;-;
12/2022;B-06-03;31/01/2023;-;
12/2022;B-06-03A;31/01/2023;-;
12/2022;B-06-05;31/01/2023;-;
12/2022;B-07-01;31/01/2023;-;
12/2022;B-07-02;31/01/2023;-;
12/2022;B-07-03;31/01/2023;-;
12/2022;B-07-03A;31/01/2023;-;
12/2022;B-07-05;31/01/2023;-;
12/2022;B-08-01;31/01/2023;-;
12/2022;B-08-02;31/01/2023;-;
12/2022;B-08-03;31/01/2023;-;
12/2022;B-08-03A;31/01/2023;-;
12/2022;B-08-05;31/01/2023;-;
12/2022;B-09-01;31/01/2023;-;
12/2022;B-09-02;31/01/2023;-;
12/2022;B-09-03;31/01/2023;-;
12/2022;B-09-03A;31/01/2023;-;
12/2022;B-09-05;31/01/2023;-;
12/2022;B-10-01;31/01/2023;-;
12/2022;B-10-02;31/01/2023;-;
12/2022;B-10-03;31/01/2023;-;
12/2022;B-10-03A;31/01/2023;-;
12/2022;B-10-05;31/01/2023;-;
12/2022;B-11-01;31/01/2023;-;
12/2022;B-11-02;31/01/2023;-;
12/2022;B-11-03;31/01/2023;-;
12/2022;B-11-03A;31/01/2023;-;
12/2022;B-11-05;31/01/2023;-;
12/2022;B-12-01;31/01/2023;-;
12/2022;B-12-02;31/01/2023;-;
12/2022;B-12-03;31/01/2023;-;
12/2022;B-12-03A;31/01/2023;-;
12/2022;B-12-05;31/01/2023;-;
12/2022;B-13-01;31/01/2023;-;
12/2022;B-13-02;31/01/2023;-;
12/2022;B-13-03;31/01/2023;-;
12/2022;B-13-03A;31/01/2023;-;
12/2022;B-13-05;31/01/2023;-;
12/2022;B-14-01;31/01/2023;-;
12/2022;B-14-02;31/01/2023;-;
12/2022;B-14-03;31/01/2023;-;
12/2022;B-14-03A;31/01/2023;-;
12/2022;B-14-05;31/01/2023;-;
12/2022;B-15-01;31/01/2023;-;
12/2022;B-15-02;31/01/2023;-;
12/2022;B-15-03;31/01/2023;-;
12/2022;B-15-03A;31/01/2023;-;
12/2022;B-15-05;31/01/2023;-;
